59,Silicon Dreams Part 3 - The Worm in Paradise
60,180
60,Bilbo
60,Chicken
60,Collision Course
60,Jack & Jill
60,Mr. Dig
60,Nim 2
60,Pogoman
60,Ram Test
60,Satan's Hollow
60,Snooker 87
61,Abracadabra !
61,Death Race
61,Moon Beam Arcade
61,Nadral
61,Picnic Paranoia
61,PQR II
61,Storm Part 1: Una Cum's Lair
61,Turmoil
61,Wizard Spell
62,Alien Swarm
62,Beer Belly Burt in Brew Biz
62,Monopoly
62,Olympic Skier
62,Pooyan (Title Version)
62,Spelunker
62,Tarzan of the Apes
63,Ali Baba and the Forty Thieves
63,Footballer of the Year
63,Henry's House
63,Superman - The Game
63,The Atari Safari
63,Treasure
64,Alien Attack (Visionaire Software)
64,Astrowarriors
64,Centipede (5200)
64,Diggerbonk
64,Flying Bombs
64,Hoehlen-Herbert
64,Match Up!
64,Numtris
64,Transmuter
65,Drelbs
65,Factor Blast
65,Jocky Wilson's Compendium of Darts (Title Version)
65,Spy vs. Spy II - The Island Caper
65,The Goonies
66,Adventure Creator
66,Baja Buggies
66,Fighter Pilot (Digital Integration)
66,Humpty Dumpty
66,Karateka
66,Magic Castle
66,Squish 'Em
67,Capital !
67,Master Chess
67,Micro Chess
67,Mr. Cool
67,M.U.L.E.
67,Schreckenstein
67,Yogi Bear and Friends in the Greed Monster (Title)
68,Creepshow
68,Gauntlet
68,Hot Lips
68,Jaskiniowiec (Title Version)
68,The Last Chance
69,Colony 7
69,Hockey
69,Pyramid Run
69,Robbo SWS-01
69,Robbo SWS-02
69,Robbo SWS-03
69,Robbo SWS-04
69,Robbo SWS-05
69,Sigma Delta Gamma 7
69,Space Eggs
69,Whirlinurd
70,Ant-Eater
70,Biene Maja
70,Jane's Program
70,Java Jim
70,Laser Duell
70,Motorcycle Maze
70,Pie Man
70,Polar Explorer
70,Robbo 32 A.K. Ver.I
70,Robbo 32 A.K. Ver.II
70,Seeschlacht
70,Skateboard
70,Space Dungeon
70,Strip Poker Suzi
70,Tricky Tracks
71,Caverns of Mars II
71,Outlaw
71,Robbo SWS-06
71,Robbo SWS-07
71,The Mad Marble Maze
71,Winter Olympiad 88
72,Bacterion !
72,Musical Pilot
72,Robbo SWS-08
72,Robbo SWS-09
72,Robbo SWS-10
72,Sea Bandit
72,Winter Olympiad 88 (320 XE)
73,Destiny: The Cruiser
73,Hard Hat Mack
73,Journey to the Planets
73,Matchboxes
73,Playful Professor Math Tutor
73,Springer
73,Strip Poker Melissa
74,Cambodia
74,Cypher Bowl
74,Diamonds
74,Maniac Miner
74,Mr. Bear
74,Reversi (Russ Segal)
74,R.O.T.O.
74,Snake Byte
74,Typo
74,Universal Hero
74,Zybex (Title Version)
75,Blinky's Scary School (Title Version 2)
75,Bowling
75,Cat Nap
75,Ernie's Magic Shapes
75,Gunlaw
75,Playful Professor Mathe Boom
75,Silicon
75,SS Achilles
75,The Dreadnaught Factor
76,Aura B.B.S.
76,Cuthbert goes Walkabout
76,Frank and Mark
76,Galactic Chase
76,Highway Duel
76,Marauder
76,Pensate
76,Spiderquake
77,Dog Daze Deluxe
77,Fuck Commodore
77,Gauntlet
77,Legionnaire
77,Masterblazer
77,Ninja Commando (Title Version)
77,Simulated Computer II
